Date,_cached_page_id,_template,_type,url,Text
['2017-10-22 00:00:00'],48c59941ce087e045bc13c10242f394c81444a56,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/huda-beauty-faux-filter-foundation-inclusive-photo,
['2017-07-14 00:00:00'],b447d9875f0d30d86788a05068889600eb6437e7,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/carefree-rich-girl-summer-style,
['2018-03-23 00:00:00'],04c44f878df834ef3fb0b560f1bc562ca9377c1f,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/best-international-skin-care-products,
['2018-04-02 00:00:00'],9e3ca78ca36970e68e5249ec24b0d8aa93d36e12,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/what-is-condom-snorting-challenge,
['2017-11-29 00:00:00'],85a12c93fbf08f2bfe88c6f10f62e36996cf096b,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/matt-lauer-anne-hathaway-today-show-2012-interview-resurfaced,
['2017-09-25 00:00:00'],addeb0c6140d7c470d53dcf4ec747a84931490c9,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/kylie-jenner-glitter-makeup,
['2017-10-24 00:00:00'],2fe9a9a27d7b00f6421dfe5cd12c417254454d6c,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/beauty-haus-video-red-wine-bath-skin-benefits,
['2017-12-18 00:00:00'],04e6dad6a32247623565e5abd34fdae822e94e12,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/nails-inc-incredible-new-makeup-line,
['2017-11-07 00:00:00'],be76b59c920b18877beccc11c62e9b3e9106526e,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/urban-decay-fenty-beauty-holiday-eye-palettes-comparison,
['2018-03-04 00:00:00'],6faf4e329d00ea8b6e8112b3ce97808172b56f8e,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/viola-davis-curls-oscars-2018,
['2017-07-11 00:00:00'],6e9617685d83fd3ea5838907caeb95b2f648cecd,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/viral-boss-email-using-sick-days-mental-health,
['2017-09-18 00:00:00'],cb09283dffab6efcbb2f1a58243e7fcdc99f3500,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/best-of-beauty-makeup-brush-hot-tool-winners,
['2017-10-27 00:00:00'],eb58fa4f808dc30edf04389b708cb5707eaa3108,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/elf-anastasia-beverly-hills-dipbrow-alternative,
