"","Date","word"
"424",2017-09-05,"oil"
"425",2017-09-05,"oil"
"426",2017-09-05,"oil"
"427",2017-09-05,"oil"
"428",2017-09-05,"sunflower"
"429",2017-09-05,"sunflower"
"430",2017-09-05,"sunflower"
"431",2017-09-05,"seed"
"432",2017-09-05,"seed"
"433",2017-09-05,"seed"
"434",2017-09-05,"seed"
"435",2017-09-05,"seed"
"436",2017-09-05,"seed"
"437",2017-09-05,"seed"
"438",2017-09-05,"seed"
"439",2017-09-05,"seed"
"440",2017-09-05,"extract"
"441",2017-09-05,"extract"
"442",2017-09-05,"extract"
"443",2017-09-05,"extract"
"444",2017-09-05,"extract"
"445",2017-09-05,"extract"
"446",2017-09-05,"extract"
"447",2017-09-05,"extract"
"448",2017-09-05,"root"
"449",2017-09-05,"root"
"450",2017-09-05,"root"
"451",2017-09-05,"root"
"452",2017-09-05,"root"
"453",2017-09-05,"root"
"454",2017-09-05,"root"
"455",2017-09-05,"root"
"456",2017-09-05,"root"
"457",2017-09-05,"root"
"458",2017-09-05,"root"
"459",2017-09-05,"extract"
"460",2017-09-05,"extract"
"461",2017-09-05,"extract"
"462",2017-09-05,"extract"
"463",2017-09-05,"jojoba"
"464",2017-09-05,"clover"
"465",2017-09-05,"flower"
"466",2017-09-05,"flower"
"467",2017-09-05,"flower"
"468",2017-09-05,"flower"
"469",2017-09-05,"flower"
"470",2017-09-05,"extract"
"471",2017-09-05,"extract"
"472",2017-09-05,"extract"
"473",2017-09-05,"extract"
"474",2017-09-05,"acid"
"475",2017-09-05,"acid"
"476",2017-09-05,"acid"
"477",2017-09-05,"acid"
"478",2017-09-05,"acid"
"479",2017-09-05,"acid"
"480",2017-09-05,"acid"
"481",2017-09-05,"acid"
"482",2017-09-05,"american"
"483",2017-09-05,"american"
"484",2017-09-05,"american"
"485",2017-09-05,"american"
"486",2017-09-05,"american"
"487",2017-09-05,"love"
"488",2017-09-05,"love"
"489",2017-09-05,"love"
"490",2017-09-05,"love"
"491",2017-09-05,"france"
"492",2017-09-05,"false"
"493",2017-09-05,"false"
"494",2017-09-05,"false"
"495",2017-09-05,"false"
"496",2016-06-05,"apple"
"497",2016-06-05,"apple"
"498",2016-06-05,"green"
"499",2016-06-05,"green"
"500",2016-06-05,"green"
"501",2016-06-05,"green"
"502",2016-06-05,"hard"
"503",2016-09-22,"apple"
"504",2016-09-22,"apple"
"505",2016-09-22,"amy"
"506",2016-09-22,"canada"
"507",2016-09-22,"canada"
"508",2016-09-22,"green"
"509",2016-09-22,"green"
"510",2016-09-22,"green"
"511",2016-09-22,"green"
"512",2016-09-22,"hard"
"513",2014-02-03,"oil"
"514",2014-02-03,"oil"
"515",2014-02-03,"oil"
"516",2014-02-03,"oil"
"517",2014-02-03,"oil"
"518",2014-02-03,"oil"
"519",2014-02-03,"oil"
"520",2014-02-03,"oil"
"521",2014-02-03,"oil"
"522",2014-02-03,"oil"
"523",2014-02-03,"oil"
"524",2014-02-03,"oil"
"525",2014-02-03,"oil"
"526",2014-02-03,"oil"
"527",2014-02-03,"oil"
"528",2014-02-03,"oil"
"529",2014-02-03,"oil"
"530",2014-02-03,"jojoba"
"531",2014-02-03,"oil"
"532",2014-02-03,"oil"
"533",2014-02-03,"oil"
"534",2014-02-03,"oil"
"535",2014-02-03,"oil"
"536",2014-02-03,"oil"
"537",2014-02-03,"oil"
"538",2014-02-03,"oil"
"539",2014-02-03,"oil"
"540",2014-02-03,"oil"
"541",2014-02-03,"oil"
"542",2014-02-03,"oil"
"543",2014-02-03,"oil"
"544",2014-02-03,"oil"
"545",2014-02-03,"oil"
"546",2014-02-03,"oil"
"547",2014-02-03,"oil"
"548",2014-02-03,"water"
"549",2014-02-03,"water"
"550",2014-02-03,"water"
"551",2014-02-03,"water"
"552",2014-02-03,"milky"
"553",2014-02-03,"oil"
"554",2014-02-03,"oil"
"555",2014-02-03,"oil"
"556",2014-02-03,"oil"
"557",2014-02-03,"oil"
"558",2014-02-03,"oil"
"559",2014-02-03,"oil"
"560",2014-02-03,"oil"
"561",2014-02-03,"oil"
"562",2014-02-03,"oil"
"563",2014-02-03,"oil"
"564",2014-02-03,"oil"
"565",2014-02-03,"oil"
"566",2014-02-03,"oil"
"567",2014-02-03,"oil"
"568",2014-02-03,"oil"
"569",2014-02-03,"oil"
"570",2014-02-03,"jojoba"
"571",2014-02-03,"oil"
"572",2014-02-03,"oil"
"573",2014-02-03,"oil"
"574",2014-02-03,"oil"
"575",2014-02-03,"oil"
"576",2014-02-03,"oil"
"577",2014-02-03,"oil"
"578",2014-02-03,"oil"
"579",2014-02-03,"oil"
"580",2014-02-03,"oil"
"581",2014-02-03,"oil"
"582",2014-02-03,"oil"
"583",2014-02-03,"oil"
"584",2014-02-03,"oil"
"585",2014-02-03,"oil"
"586",2014-02-03,"oil"
"587",2014-02-03,"oil"
"588",2014-02-03,"oil"
"589",2014-02-03,"oil"
"590",2014-02-03,"oil"
"591",2014-02-03,"oil"
"592",2014-02-03,"oil"
"593",2014-02-03,"oil"
"594",2014-02-03,"oil"
"595",2014-02-03,"oil"
"596",2014-02-03,"oil"
"597",2014-02-03,"oil"
"598",2014-02-03,"oil"
"599",2014-02-03,"oil"
"600",2014-02-03,"oil"
"601",2014-02-03,"oil"
"602",2014-02-03,"oil"
"603",2014-02-03,"oil"
"604",2014-02-03,"oil"
"605",2014-02-03,"water"
"606",2014-02-03,"water"
"607",2014-02-03,"water"
"608",2014-02-03,"water"
"609",2014-02-03,"jojoba"
"610",2014-02-03,"oil"
"611",2014-02-03,"oil"
"612",2014-02-03,"oil"
"613",2014-02-03,"oil"
"614",2014-02-03,"oil"
"615",2014-02-03,"oil"
"616",2014-02-03,"oil"
"617",2014-02-03,"oil"
"618",2014-02-03,"oil"
"619",2014-02-03,"oil"
"620",2014-02-03,"oil"
"621",2014-02-03,"oil"
"622",2014-02-03,"oil"
"623",2014-02-03,"oil"
"624",2014-02-03,"oil"
"625",2014-02-03,"oil"
"626",2014-02-03,"oil"
"627",2014-02-03,"water"
"628",2014-02-03,"water"
"629",2014-02-03,"water"
"630",2014-02-03,"water"
"631",2017-04-16,"pink"
"632",2017-04-16,"swallow"
"633",2017-04-16,"swallow"
"634",2017-04-16,"swallow"
"635",2017-04-16,"swallow"
"636",2017-04-16,"swallow"
"637",2017-04-16,"swallow"
"638",2017-04-16,"coffee"
"639",2017-04-16,"swallow"
"640",2017-04-16,"swallow"
"641",2017-04-16,"swallow"
"642",2017-04-16,"swallow"
"643",2017-04-16,"swallow"
"644",2017-04-16,"swallow"
"645",2017-04-16,"swallow"
"646",2017-04-16,"swallow"
"647",2017-04-16,"swallow"
"648",2017-04-16,"swallow"
"649",2017-04-16,"swallow"
"650",2017-04-16,"swallow"
"651",2017-04-16,"acid"
"652",2017-04-16,"acid"
"653",2017-04-16,"swallow"
"654",2017-04-16,"swallow"
"655",2017-04-16,"swallow"
"656",2017-04-16,"swallow"
"657",2017-04-16,"swallow"
"658",2017-04-16,"swallow"
"659",2017-04-16,"swallow"
"660",2017-04-16,"swallow"
"661",2017-04-16,"swallow"
"662",2017-04-16,"swallow"
"663",2017-04-16,"swallow"
"664",2017-04-16,"swallow"
"665",2017-04-16,"swallow"
"666",2017-04-16,"swallow"
"667",2017-04-16,"swallow"
"668",2017-04-16,"swallow"
"669",2017-04-16,"swallow"
"670",2017-04-16,"swallow"
"671",2017-04-16,"water"
"672",2017-04-16,"water"
"673",2017-04-16,"water"
"674",2017-04-16,"water"
"675",2017-04-16,"swallow"
"676",2017-04-16,"swallow"
"677",2017-04-16,"swallow"
"678",2017-04-16,"swallow"
"679",2017-04-16,"swallow"
"680",2017-04-16,"swallow"
"681",2017-09-07,"hard"
"682",2017-09-07,"red"
"683",2017-09-07,"red"
"684",2017-09-07,"red"
"685",2017-09-07,"red"
"686",2017-09-07,"red"
"687",2017-09-07,"red"
"688",2017-09-07,"red"
"689",2017-09-07,"red"
"690",2017-09-07,"red"
"691",2017-09-07,"red"
"692",2017-09-07,"red"
"693",2017-09-07,"red"
"694",2017-09-07,"red"
"695",2017-09-07,"honey"
"696",2017-09-07,"plant"
"697",2017-09-07,"plant"
"698",2017-09-07,"plant"
"699",2017-09-07,"plant"
"700",2017-09-07,"plant"
"701",2017-09-07,"plant"
"702",2017-09-07,"plant"
"703",2017-09-07,"plant"
"704",2017-09-07,"plant"
"705",2017-09-07,"plant"
"706",2017-09-07,"radical"
"707",2017-09-07,"fair"
"708",2014-11-06,"love"
"709",2014-11-06,"love"
"710",2014-11-06,"oil"
"711",2014-11-06,"oil"
"712",2014-11-06,"oil"
"713",2014-11-06,"oil"
"714",2014-11-06,"oil"
"715",2014-11-06,"oil"
"716",2014-11-06,"oil"
"717",2014-11-06,"oil"
"718",2014-11-06,"oil"
"719",2014-11-06,"oil"
"720",2014-11-06,"oil"
"721",2014-11-06,"oil"
"722",2014-11-06,"oil"
"723",2014-11-06,"oil"
"724",2014-11-06,"oil"
"725",2014-11-06,"oil"
"726",2014-11-06,"oil"
"727",2014-11-06,"oil"
"728",2014-11-06,"oil"
"729",2014-11-06,"oil"
"730",2014-11-06,"oil"
"731",2014-11-06,"oil"
"732",2014-11-06,"oil"
"733",2014-11-06,"oil"
"734",2014-11-06,"oil"
